No.,분류,처방명,별명,구성,[등록]
1,계지제,계지탕,,계지:6/작약:6/자감초:4/대추:6/생강:6,+?/?-
2,계지제,계지가계탕,,계지:10/작약:6/자감초:4/대추:6/생강:6,+?/?-
3,계지제,계지가황기탕,,계지:6/작약:6/자감초:4/대추:6/생강:6/황기:4,+?/?-
4,계지제,계지가갈근탕,,계지:6/작약:6/자감초:4/대추:6/생강:6/갈근:8,+?/?-
5,계지제,계지가후박행자탕,,계지:6/작약:6/자감초:4/대추:6/생강:6/후박:4/행인:15,+?/?-
6,계지제,계지가용골모려탕,계용모,계지:6/작약:6/자감초:4/대추:6/생강:6/용골:6/모려:6,+?/?-
7,계지제,계작지모탕,,계지:8/작약:6/자감초:4/생강:10/지모:8/방풍:8/마황:4/백출:10/부자:2,+?/?-
8,계지제,계지가작약탕,,계지:6/작약:12/자감초:4/대추:6/생강:6,+?/?-
9,계지제,계지가대황탕,,계지:6/작약:12/자감초:4/대추:6/생강:6/대황:4,+?/?-
10,계지제,소건중탕,,계지:6/작약:12/자감초:4/대추:6/생강:6/교이:40,+?/?-
11,계지제,황기건중탕,,계지:6/작약:12/자감초:6/대추:6/생강:6/교이:40/황기:3,+?/?-
12,계지제,당귀건중탕,,계지:6/작약:12/자감초:4/대추:6/생강:6/당귀:8,+?/?-
13,계지제,계지거작약탕,,계지:6/자감초:4/대추:6/생강:6,+?/?-
14,계지제,자감초탕,자감,계지:6/자감초:8/대추:10/생강:6/인삼:4/맥문동:10/건지황:8/마자인:8/아교주:4,+?/?-
15,계지제,계지가부자탕,,계지:6/작약:6/자감초:6/대추:6/생강:6/부자:1,+?/?-
16,계지제,계지부자탕,,계지:8/자감초:4/대추:6/생강:6/부자:3,+?/?-
17,계지제,백출부자탕,,자감초:4/대추:6/생강:6/부자:3/백출:8,+?/?-
18,계지제,감초부자탕,,계지:8/자감초:4/부자:2/백출:4,+?/?-
19,계지제,당귀사역탕,,계지:6/작약:6/자감초:4/대추:12/당귀:6/목통:4/세신:6,+?/?-
20,계지제,당귀사역가오수유생강탕,당사오,계지:6/작약:6/자감초:4/대추:12/생강:16/당귀:6/목통:4/세신:6/오수유:4,+?/?-
21,계지제,황기계지오물탕,황계오물탕/황계오물,황기:6/계지:6/작약:6/생강:12/대추:6,+?/?-
22,계지제,계지거계가복령백출탕,거계가영출탕,작약:6/자감초:4/대추:6/생강:6/백출:6/복령:6,+?/?-
23,마황제,마황탕,,마황:6/계지:4/자감초:2/행인:21,+?/?-
